Gene ID	Gene Name	Description	GO	KEGG	NFkB	ReactomePathway	ReactomeReaction
TGOLN2	TGOLN2	Trans-golgi network protein 2	GO:0005802 GO:0016020 GO:0016021 GO:0030133 	 	 	 	 
SI	SI	Sucrase-isomaltase (alpha-glucosidase)	GO:0004553 GO:0004574 GO:0004575 GO:0005794 GO:0005903 GO:0005975 GO:0016020 GO:0016021 	hsa00500 	 	 	 
EIF1AX	EIF1AX	"Eukaryotic translation initiation factor 1A, X-linked"	GO:0003723 GO:0003743 GO:0006412 GO:0006413 GO:0016281 	 	 	72613 72649 72662 72689 72695 72702 72706 72737 72766 74160 156827 157279 	72619 72621 72673 72676 72691 72697 156808 156823 157849 
ZNF238	ZNF238	Zinc finger protein 238	GO:0000122 GO:0000228 GO:0003676 GO:0003700 GO:0003704 GO:0005515 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0006810 GO:0007001 GO:0008270 GO:0046872 	 	 	 	 
RAB9P1	RAB9P1	"RAB9, member RAS oncogene family, pseudogene 1"	 	 	 	 	 
DNASE1	DNASE1	Deoxyribonuclease I	GO:0003779 GO:0004519 GO:0004530 GO:0004536 GO:0005509 GO:0005515 GO:0005576 GO:0005615 GO:0006308 GO:0006915 GO:0016787 	 	 	 	 
C4BPB	C4BPB	"Complement component 4 binding protein, beta"	GO:0005576 GO:0006958 GO:0007596 GO:0045087 	hsa04610 	 	 	 
ID1	ID1	"Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"	GO:0000122 GO:0005515 GO:0005634 GO:0006357 GO:0007275 GO:0007507 GO:0016481 GO:0016564 GO:0030509 GO:0043433 GO:0045765 	hsa04350 	 	 	 
UCP1	UCP1	"Uncoupling protein 1 (mitochondrial, proton carrier)"	GO:0005215 GO:0005488 GO:0005515 GO:0005624 GO:0005739 GO:0005740 GO:0005743 GO:0006091 GO:0006810 GO:0006839 GO:0015992 GO:0016020 GO:0016021 GO:0017077 	 	 	166187 167826 167827 	166214 166220 166387 170026 
LTB4R	LTB4R	Leukotriene B4 receptor	GO:0000166 GO:0003723 GO:0004872 GO:0004974 GO:0005488 GO:0005887 GO:0006928 GO:0006935 GO:0006936 GO:0006954 GO:0007165 GO:0007186 GO:0007194 GO:0007200 GO:0016020 GO:0019735 	hsa04080 	 	 	 
DRD5	DRD5	Dopamine receptor D5	GO:0001584 GO:0004872 GO:0004952 GO:0005887 GO:0007165 GO:0007186 GO:0007191 GO:0007268 GO:0016020 	hsa04080 	 	 	 
CA5A	CA5A	"Carbonic anhydrase VA, mitochondrial"	GO:0004089 GO:0005739 GO:0005759 GO:0006730 GO:0008270 GO:0016829 GO:0046872 	hsa00910 	 	 	 
PPP1R3A	PPP1R3A	"Protein phosphatase 1, regulatory (inhibitor) subunit 3A (glycogen and sarcoplasmic reticulum binding subunit, skeletal muscle)"	GO:0004865 GO:0005975 GO:0005977 GO:0016020 GO:0016021 	hsa04910 	 	 	 
DOC2B	DOC2B	"Double C2-like domains, beta"	 	 	 	 	 
WASL	WASL	Wiskott-Aldrich syndrome-like	GO:0003677 GO:0003779 GO:0005083 GO:0005515 GO:0005634 GO:0005737 GO:0006350 GO:0006355 GO:0006461 GO:0006928 GO:0008154 GO:0009618 GO:0015629 GO:0030027 GO:0030031 GO:0045010 	hsa04520 hsa04810 hsa05130 hsa05131 	 	 	 
MAGEB1	MAGEB1	"Melanoma antigen family B, 1"	 	 	 	 	 
PDE6C	PDE6C	"Phosphodiesterase 6C, cGMP-specific, cone, alpha prime"	GO:0004114 GO:0007165 GO:0007601 GO:0016020 GO:0016787 GO:0047555 GO:0050896 	 	 	 	 
GALNT4	GALNT4	none	 	 	 	 	 
ADAM11	ADAM11	ADAM metallopeptidase domain 11	GO:0004222 GO:0005178 GO:0005886 GO:0006508 GO:0007229 GO:0016021 	 	 	 	 
HIST1H3A	HIST1H3A	"Histone 1, H3a"	GO:0000786 GO:0003677 GO:0005515 GO:0005634 GO:0005694 GO:0006334 GO:0007001 	 	 	 	 
ALDOB	ALDOB	"Aldolase B, fructose-bisphosphate"	GO:0004332 GO:0005737 GO:0006000 GO:0006096 GO:0008152 GO:0016829 	hsa00010 hsa00030 hsa00051 hsa00710 	 	 	71495 71496 
CCL25	CCL25	Chemokine (C-C motif) ligand 25	GO:0005179 GO:0005515 GO:0005576 GO:0005615 GO:0005625 GO:0006935 GO:0006954 GO:0007186 GO:0008009 GO:0050896 GO:0050900 	hsa04060 	 	 	 
RBP4	RBP4	"Retinol binding protein 4, plasma"	GO:0005215 GO:0005488 GO:0005501 GO:0005576 GO:0005615 GO:0006810 GO:0007601 GO:0016918 GO:0019841 GO:0050896 	 	 	 	 
GRM7	GRM7	"Glutamate receptor, metabotropic 7"	GO:0001642 GO:0001661 GO:0001662 GO:0004872 GO:0005245 GO:0005246 GO:0005615 GO:0005887 GO:0007165 GO:0007186 GO:0007194 GO:0007268 GO:0007608 GO:0008067 GO:0016020 GO:0019226 GO:0030165 GO:0042596 GO:0043526 GO:0045211 GO:0048787 GO:0050896 	hsa04080 	 	 	 
HIST1H2AE	HIST1H2AE	"Histone 1, H2ae"	GO:0000786 GO:0003677 GO:0005634 GO:0005694 GO:0006334 GO:0007001 	 	 	 	 
REN	REN	Renin	GO:0002003 GO:0002016 GO:0004194 GO:0004195 GO:0005615 GO:0006508 GO:0008065 GO:0008217 GO:0008233 GO:0009755 GO:0042756 GO:0048469 	 	 	 	 
HIP1	HIP1	Huntingtin interacting protein 1	GO:0003779 GO:0005200 GO:0005624 GO:0005737 GO:0005794 GO:0005856 GO:0006897 GO:0006919 GO:0030276 GO:0042981 GO:0048268 	hsa05040 	 	 	 
SFTPA2	SFTPA2	"Surfactant, pulmonary-associated protein A2"	GO:0005509 GO:0005529 GO:0005737 GO:0006817 GO:0007585 GO:0050828 	 	 	 	 
IGLJ7	IGLJ7	none	 	 	 	 	 
DES	DES	Desmin	GO:0005198 GO:0005200 GO:0005515 GO:0005626 GO:0005856 GO:0005882 GO:0006936 GO:0007010 GO:0007517 GO:0008016 GO:0030018 GO:0042383 GO:0043292 GO:0045202 	hsa01430 	 	 	 
CDH12	CDH12	"Cadherin 12, type 2 (N-cadherin 2)"	GO:0005509 GO:0005515 GO:0007155 GO:0007156 GO:0016020 GO:0016021 	 	 	 	 
ACTN3	ACTN3	"Actinin, alpha 3"	GO:0003779 GO:0005509 GO:0005515 GO:0005865 GO:0005884 GO:0006936 GO:0008307 GO:0030674 GO:0051015 	hsa04510 hsa04520 hsa04530 hsa04670 hsa04810 	 	 	 
DTNA	DTNA	"Dystrobrevin, alpha"	GO:0005509 GO:0005515 GO:0005792 GO:0006941 GO:0007165 GO:0007274 GO:0008270 GO:0016014 GO:0042383 GO:0045202 	 	 	 	 
TCP10	TCP10	T-complex 10 (mouse)	 	 	 	 	 
LGALS2	LGALS2	"Lectin, galactoside-binding, soluble, 2 (galectin 2)"	GO:0005529 GO:0005625 	 	 	 	 
ASL	ASL	Argininosuccinate lyase	GO:0000050 GO:0003824 GO:0004056 GO:0005737 GO:0006526 GO:0006527 GO:0008652 GO:0016829 	hsa00220 hsa00252 hsa00330 	 	70635 70693 70694 71291 	70573
TULP1	TULP1	Tubby like protein 1	GO:0007601 GO:0007602 GO:0008020 GO:0050896 	 	 	 	 
CALCA	CALCA	"Calcitonin/calcitonin-related polypeptide, alpha"	GO:0001501 GO:0001635 GO:0005102 GO:0005179 GO:0005576 GO:0005615 GO:0005622 GO:0005625 GO:0005783 GO:0006954 GO:0007188 GO:0007190 GO:0007202 GO:0007204 GO:0007218 GO:0007267 GO:0007631 GO:0008217 GO:0045986 	 	 	 	 
KCNJ15	KCNJ15	"Potassium inwardly-rectifying channel, subfamily J, member 15"	GO:0005242 GO:0005244 GO:0005267 GO:0005624 GO:0005887 GO:0006811 GO:0006813 GO:0016020 GO:0030955 	 	 	 	 
S100A12	S100A12	S100 calcium binding protein A12 (calgranulin C)	GO:0005509 GO:0005626 GO:0005829 GO:0006805 GO:0006954 GO:0008270 GO:0042742 GO:0050832 	 	p65_(+LPS) c+Rel_(+LPS) RelB_(+LPS)	 	 
S100A7	S100A7	S100 calcium binding protein A7 (psoriasin 1)	GO:0000302 GO:0001525 GO:0005509 GO:0005515 GO:0005576 GO:0005634 GO:0005737 GO:0005783 GO:0005829 GO:0005925 GO:0008270 GO:0008544 GO:0030216 GO:0045087 GO:0050829 GO:0051238 	 	 	 	 
CACNA1S	CACNA1S	"Calcium channel, voltage-dependent, L type, alpha 1S subunit"	GO:0005245 GO:0005261 GO:0005509 GO:0005624 GO:0005891 GO:0006812 GO:0006816 GO:0006936 GO:0015270 GO:0016020 GO:0016021 	hsa04010 hsa04020 hsa04912 	 	 	 
HTR1F	HTR1F	5-hydroxytryptamine (serotonin) receptor 1F	GO:0001584 GO:0004872 GO:0004935 GO:0004993 GO:0005887 GO:0007165 GO:0007187 GO:0007268 GO:0016020 GO:0016021 	hsa04080 	 	 	 
DGCR9	DGCR9	none	 	 	 	 	 
EPHA7	EPHA7	EPH receptor A7	GO:0000166 GO:0004674 GO:0004872 GO:0005003 GO:0005515 GO:0005524 GO:0005615 GO:0006468 GO:0007169 GO:0016020 GO:0016021 GO:0016740 GO:0031290 GO:0045499 GO:0048755 	hsa04360 	 	 	 
NOLC1	NOLC1	Nucleolar and coiled-body phosphoprotein 1	GO:0000166 GO:0005524 GO:0005525 GO:0005634 GO:0005730 GO:0005737 GO:0006364 GO:0007049 GO:0007067 	 	RelB_(+LPS)	 	 
BMS1L	BMS1L	"BMS1-like, ribosome assembly protein (yeast)"	GO:0000166 GO:0005524 GO:0005634 GO:0007046 	 	 	 	 
NSMAF	NSMAF	Neutral sphingomyelinase (N-SMase) activation associated factor	GO:0005057 GO:0005123 GO:0005625 GO:0005737 GO:0006672 GO:0007165 	 	 	 	 
TSC2	TSC2	Tuberous sclerosis 2	GO:0005096 GO:0005624 GO:0005737 GO:0005829 GO:0005886 GO:0006457 GO:0006897 GO:0007049 GO:0045786 GO:0046626 GO:0051082 	hsa04150 hsa04910 	 	74751 74752 77389 109703 109704 112399 165159 165181 	165162 165179 165182 
KIAA0020	KIAA0020	KIAA0020	GO:0003723 GO:0005488 GO:0005634 GO:0005783 	 	 	 	 
NUP160	NUP160	Nucleoporin 160kDa	GO:0003993 GO:0005487 GO:0005515 GO:0005634 GO:0005643 GO:0006406 GO:0006810 	 	 	162587 162599 162906 162909 165054 168254 168255 168271 176033 177243 180910 	165043 165047 168337 180622 
WRN	WRN	Werner syndrome	GO:0000166 GO:0000723 GO:0003677 GO:0003678 GO:0005515 GO:0005524 GO:0005622 GO:0005634 GO:0006259 GO:0006310 GO:0007568 GO:0008026 GO:0008408 GO:0016787 GO:0040009 	 	 	 	 
CDC6	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	GO:0000076 GO:0000079 GO:0000166 GO:0003682 GO:0005515 GO:0005524 GO:0005634 GO:0005737 GO:0005819 GO:0006260 GO:0007049 GO:0007067 GO:0007089 GO:0008156 GO:0008285 GO:0017111 GO:0051301 	hsa04110 	 	68689 68827 68867 68874 68949 68962 69002 69017 69052 69206 69239 69242 69278 69298 69300 69304 69306 69481 69620 113495 113510 176187 	68637 68688 68826 68849 68916 68917 68918 68919 68940 68944 69005 69006 69015 69016 176298 176318 
CDC25C	CDC25C	Cell division cycle 25C	GO:0000079 GO:0004725 GO:0005622 GO:0005634 GO:0006470 GO:0007049 GO:0007088 GO:0007089 GO:0008283 GO:0016787 GO:0051301 	hsa04110 	 	69273 69275 69278 69473 69481 69620 75035 156711 157881 176187 	75010 75014 75016 75022 75809 156678 170149 170153 170158 170159 170161 170162 
ORC1L	ORC1L	"Origin recognition complex, subunit 1-like (yeast)"	GO:0000166 GO:0003677 GO:0005515 GO:0005524 GO:0005634 GO:0006260 GO:0006270 GO:0017111 	hsa04110 	 	68616 68689 68827 68867 68874 68949 68962 69002 69052 69206 69239 69242 69278 69298 69300 69304 69306 69481 69620 113495 113507 113510 176187 	68611 68615 68688 68826 68849 68916 68917 68918 68919 68940 68944 68946 68947 68948 113632 113638 176298 176318 176973 
OCRL	OCRL	Oculocerebrorenal syndrome of Lowe	GO:0000139 GO:0004437 GO:0004439 GO:0005795 GO:0005798 GO:0006629 GO:0016787 	hsa00562 hsa04070 	 	 	 
PTPRM	PTPRM	"Protein tyrosine phosphatase, receptor type, M"	GO:0004725 GO:0004872 GO:0005001 GO:0005615 GO:0005887 GO:0006470 GO:0016020 GO:0016021 GO:0016787 	hsa04514 hsa04520 	 	 	 
EXTL2	EXTL2	Exostoses (multiple)-like 2	GO:0001888 GO:0005615 GO:0005783 GO:0006044 GO:0016020 GO:0016021 GO:0016757 GO:0019276 GO:0030145 GO:0035248 GO:0046872 	hsa00534 hsa01030 	p50_(-LPS) p50_(+LPS)	 	 
PHF16	PHF16	PHD finger protein 16	GO:0005515 GO:0006355 GO:0008270 GO:0046872 	 	 	 	 
NFIX	NFIX	Nuclear factor I/X (CCAAT-binding transcription factor)	GO:0003700 GO:0003705 GO:0005622 GO:0005634 GO:0006260 GO:0006350 GO:0006355 GO:0006366 	 	 	 	 
C4orf9	C4orf9	Chromosome 4 open reading frame 9	GO:0005634 GO:0006364 	 	 	 	 
PRKAR2A	PRKAR2A	"Protein kinase, cAMP-dependent, regulatory, type II, alpha"	GO:0000166 GO:0004872 GO:0005215 GO:0005515 GO:0005624 GO:0005737 GO:0005886 GO:0005952 GO:0006468 GO:0006810 GO:0007165 GO:0007242 GO:0008603 GO:0016020 GO:0016301 GO:0030552 	hsa04210 hsa04910 	 	163359 163685 164378 	111925
GRIA1	GRIA1	"Glutamate receptor, ionotropic, AMPA 1"	GO:0004872 GO:0004971 GO:0005215 GO:0005216 GO:0005234 GO:0005267 GO:0005515 GO:0005615 GO:0005886 GO:0006811 GO:0006813 GO:0007165 GO:0007268 GO:0007613 GO:0008318 GO:0015277 GO:0016021 GO:0018346 GO:0045211 GO:0050890 	hsa04080 hsa04720 hsa04730 	 	 	 
PTHLH	PTHLH	Parathyroid hormone-like hormone	GO:0001501 GO:0005179 GO:0005509 GO:0005576 GO:0005615 GO:0005634 GO:0005737 GO:0006874 GO:0007267 GO:0007565 GO:0007595 GO:0008284 GO:0008285 GO:0008544 GO:0030282 GO:0030855 GO:0043129 GO:0046058 GO:0048286 	 	 	 	 
NDST2	NDST2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	GO:0006024 GO:0015012 GO:0015016 GO:0016020 GO:0016021 GO:0016740 GO:0016787 GO:0050875 	hsa00534 hsa01030 	 	 	 
ZNF33A	ZNF33A	Zinc finger protein 33A	GO:0003676 GO:0003700 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0016564 GO:0046872 	 	 	 	 
SST	SST	Somatostatin	GO:0005179 GO:0005576 GO:0005615 GO:0030334 	hsa04080 	 	 	 
PPP3CA	PPP3CA	"Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)"	GO:0000082 GO:0000158 GO:0004722 GO:0005506 GO:0005509 GO:0005516 GO:0005634 GO:0005955 GO:0006470 GO:0006606 GO:0006816 GO:0006950 GO:0008270 GO:0008420 GO:0015071 GO:0016311 GO:0016787 GO:0017018 GO:0030018 GO:0030145 	hsa04010 hsa04020 hsa04210 hsa04310 hsa04360 hsa04370 hsa04650 hsa04660 hsa04662 hsa04720 hsa05030 	 	 	 
PLA2G1B	PLA2G1B	"Phospholipase A2, group IB (pancreas)"	GO:0004623 GO:0005102 GO:0005509 GO:0005615 GO:0006644 GO:0006950 GO:0007015 GO:0007165 GO:0008283 GO:0009395 GO:0016042 GO:0016787 	hsa00564 hsa00590 hsa00591 hsa04010 hsa04370 hsa04664 hsa04730 hsa04912 	 	 	 
PLP1	PLP1	"Proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)"	GO:0005198 GO:0007268 GO:0008366 GO:0016020 GO:0016021 GO:0042552 	 	 	 	 
HGF	HGF	Hepatocyte growth factor (hepapoietin A; scatter factor)	GO:0000187 GO:0000902 GO:0004252 GO:0006508 GO:0006916 GO:0007067 GO:0008083 GO:0008283 GO:0008372 GO:0048012 	hsa04060 hsa04510 hsa05210 	 	75178 76005 109582 114608 114611 	139865
SEMG1	SEMG1	Semenogelin I	GO:0005615 GO:0007320 	 	 	 	 
MAPK8IP2	MAPK8IP2	Mitogen-activated protein kinase 8 interacting protein 2	GO:0001540 GO:0005078 GO:0005198 GO:0005515 GO:0005737 GO:0007172 GO:0007254 GO:0019894 GO:0019901 GO:0045768 GO:0046328 	hsa04010 	 	 	 
ZNF80	ZNF80	Zinc finger protein 80	GO:0003676 GO:0003700 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0046872 	 	 	 	 
GHR	GHR	Growth hormone receptor	GO:0001501 GO:0004872 GO:0004903 GO:0005515 GO:0005887 GO:0006897 GO:0016020 GO:0016021 GO:0019898 GO:0040007 	hsa04060 hsa04080 hsa04630 	 	 	 
TGFB2	TGFB2	"Transforming growth factor, beta 2"	GO:0000902 GO:0001501 GO:0001525 GO:0001540 GO:0001568 GO:0001654 GO:0001707 GO:0001942 GO:0005125 GO:0005160 GO:0005515 GO:0005576 GO:0005615 GO:0007411 GO:0007507 GO:0008083 GO:0008219 GO:0008283 GO:0008284 GO:0008285 GO:0009790 GO:0010002 GO:0016049 GO	hsa04010 hsa04060 hsa04110 hsa04350 hsa05210 	 	75178 76005 109582 114608 114611 	114658
CNTN2	CNTN2	Contactin 2 (axonal)	GO:0005515 GO:0005886 GO:0005887 GO:0007155 GO:0030424 GO:0048503 	hsa04514 	 	 	 
S100A1	S100A1	S100 calcium binding protein A1	GO:0005509 GO:0007242 GO:0008016 GO:0008270 GO:0016529 GO:0043234 GO:0051117 	 	 	 	 
PPBP	PPBP	Pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	GO:0000074 GO:0005355 GO:0005576 GO:0005615 GO:0006935 GO:0006955 GO:0008009 GO:0008083 GO:0008283 GO:0009613 GO:0015758 GO:0042742 GO:0050896 	hsa04060 hsa04670 	 	75178 76005 109582 114608 114611 	114613 114639 
FBN2	FBN2	Fibrillin 2 (congenital contractural arachnodactyly)	GO:0001527 GO:0005201 GO:0005509 GO:0005578 GO:0005615 GO:0009653 GO:0030326 	 	 	 	 
CLC	CLC	Charcot-Leyden crystal protein	GO:0004622 GO:0004759 GO:0005529 GO:0006644 GO:0007275 GO:0016042 GO:0016787 GO:0019735 	 	 	 	 
CHRNA4	CHRNA4	"Cholinergic receptor, nicotinic, alpha 4"	GO:0004889 GO:0004890 GO:0005216 GO:0005230 GO:0005515 GO:0005624 GO:0005892 GO:0006811 GO:0007165 GO:0007268 GO:0007271 GO:0007399 GO:0007600 GO:0007610 GO:0015464 GO:0016021 GO:0030594 GO:0045211 	 	 	 	 
RYR1	RYR1	Ryanodine receptor 1 (skeletal)	GO:0004872 GO:0005216 GO:0005261 GO:0005509 GO:0005515 GO:0005624 GO:0005790 GO:0005887 GO:0006811 GO:0006812 GO:0006816 GO:0006936 GO:0006937 GO:0015278 GO:0016020 GO:0016529 	hsa04020 hsa04730 	 	 	 
PSMD5	PSMD5	"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 5"	GO:0000502 GO:0005488 GO:0005829 GO:0043234 	 	 	68827 68867 68874 68949 69002 69017 69052 69229 69239 69242 69278 69300 69304 69306 69601 69610 69613 69615 69620 75815 174084 174113 174143 174154 174178 174184 176408 176409 176814 	68825 68948 69016 69600 75825 174058 174105 174202 174203 174255 
LPIN2	LPIN2	Lipin 2	GO:0005634 	 	 	 	 
FEZ1	FEZ1	Fasciculation and elongation protein zeta 1 (zygin I)	GO:0005515 GO:0005737 GO:0005813 GO:0007155 GO:0007399 GO:0007411 GO:0043015 	 	 	 	 
ERG	ERG	V-ets erythroblastosis virus E26 oncogene like (avian)	GO:0003700 GO:0004871 GO:0005515 GO:0005634 GO:0006350 GO:0006355 GO:0006468 GO:0007165 GO:0007275 GO:0008283 GO:0043565 	 	 	 	 
SGCD	SGCD	"Sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)"	GO:0005515 GO:0005856 GO:0005886 GO:0005887 GO:0007010 GO:0007517 GO:0016012 GO:0016021 GO:0016044 	 	 	 	 
PRKCH	PRKCH	"Protein kinase C, eta"	GO:0000166 GO:0004697 GO:0004713 GO:0005524 GO:0006468 GO:0007242 GO:0008270 GO:0016740 GO:0019992 GO:0046872 	hsa04530 	 	 	 
NFKBIL2	NFKBIL2	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2	GO:0005488 	 	 	 	 
GOLGA2	GOLGA2	"Golgi autoantigen, golgin subfamily a, 2"	GO:0005515 GO:0005794 GO:0005801 	 	 	 	 
RLN1	RLN1	Relaxin 1	GO:0005179 GO:0005576 GO:0005615 GO:0007165 GO:0007565 GO:0007582 	hsa04080 	 	 	 
ADCY1	ADCY1	Adenylate cyclase 1 (brain)	GO:0000287 GO:0004016 GO:0004383 GO:0005516 GO:0005886 GO:0006171 GO:0007190 GO:0007242 GO:0008294 GO:0016020 GO:0016021 	hsa00230 hsa04020 hsa04540 hsa04720 hsa04912 	 	163359 163685 164378 164385 	111930 163617 164377 
SCNN1A	SCNN1A	"Sodium channel, nonvoltage-gated 1 alpha"	GO:0005216 GO:0005515 GO:0005624 GO:0005887 GO:0006811 GO:0006814 GO:0007588 GO:0015280 GO:0016020 GO:0016021 GO:0031402 GO:0050896 	hsa04742 	 	 	 
FMOD	FMOD	Fibromodulin	GO:0005515 GO:0005578 GO:0005615 GO:0007181 	 	 	 	 
TAC1	TAC1	"Tachykinin, precursor 1 (substance K, substance P, neurokinin 1, neurokinin 2, neuromedin L, neurokinin alpha, neuropeptide K, neuropeptide gamma)"	GO:0005102 GO:0005184 GO:0005615 GO:0006954 GO:0007217 GO:0007218 GO:0007267 GO:0007268 GO:0007320 GO:0009582 GO:0019233 GO:0043025 GO:0048265 	hsa04080 	 	 	 
ZNF647	ZNF647	none	 	 	 	 	 
PAX3	PAX3	Paired box gene 3 (Waardenburg syndrome 1)	GO:0000122 GO:0001755 GO:0001843 GO:0003682 GO:0003700 GO:0003705 GO:0005515 GO:0005634 GO:0005667 GO:0006355 GO:0006366 GO:0006915 GO:0007275 GO:0007399 GO:0007507 GO:0007517 GO:0007605 GO:0008283 GO:0008284 GO:0009887 GO:0016563 GO:0016566 GO:0043565 GO	 	 	 	 
FMO4	FMO4	Flavin containing monooxygenase 4	GO:0004497 GO:0004499 GO:0005783 GO:0005792 GO:0006118 GO:0006805 GO:0016020 GO:0016021 GO:0031227 GO:0050660 GO:0050661 	 	 	 	 
SYT5	SYT5	Synaptotagmin V	GO:0005215 GO:0005509 GO:0006810 GO:0007268 GO:0008021 GO:0016020 GO:0016021 GO:0043005 GO:0043025 GO:0045202 GO:0048471 	 	 	 	 
LIPC	LIPC	"Lipase, hepatic"	GO:0004806 GO:0005319 GO:0005615 GO:0006487 GO:0008201 GO:0016042 GO:0016298 GO:0016787 	hsa00561 	 	 	 
C22ORF4	C22ORF4	none	 	 	 	 	 
RAB3A	RAB3A	"RAB3A, member RAS oncogene family"	GO:0000166 GO:0003924 GO:0005515 GO:0005525 GO:0006886 GO:0006887 GO:0007264 GO:0007269 GO:0008021 GO:0008565 GO:0015031 GO:0016020 GO:0017157 	 	 	 	 
HSF2	HSF2	Heat shock transcription factor 2	GO:0003677 GO:0003700 GO:0003713 GO:0005634 GO:0005737 GO:0006350 GO:0006355 GO:0006366 GO:0006457 GO:0006986 GO:0007283 GO:0043565 	 	 	 	 
HIST1H1C	HIST1H1C	"Histone 1, H1c"	GO:0000786 GO:0003677 GO:0005515 GO:0005634 GO:0005694 GO:0006334 GO:0007001 GO:0016584 	 	 	 	 
CRHBP	CRHBP	Corticotropin releasing hormone binding protein	GO:0005515 GO:0005625 GO:0007165 GO:0007565 GO:0007611 GO:0017047 GO:0042445 	 	 	 	 
MECP2	MECP2	Methyl CpG binding protein 2 (Rett syndrome)	GO:0000122 GO:0000792 GO:0003677 GO:0003714 GO:0005634 GO:0006350 GO:0006355 GO:0008327 GO:0016358 GO:0016564 GO:0042551 GO:0045892 	 	 	 	 
FST	FST	Follistatin	GO:0005515 GO:0005576 GO:0005615 GO:0007275 GO:0007276 GO:0007389 GO:0008585 GO:0017106 GO:0030509 GO:0042475 GO:0045596 GO:0046882 	hsa04350 	 	 	 
AOC3	AOC3	"Amine oxidase, copper containing 3 (vascular adhesion protein 1)"	GO:0005507 GO:0005515 GO:0005886 GO:0006118 GO:0006954 GO:0007155 GO:0008131 GO:0009308 GO:0009986 GO:0016021 GO:0016491 GO:0042803 GO:0046872 GO:0048038 	hsa00260 hsa00330 hsa00340 hsa00350 hsa00360 hsa00380 hsa00410 hsa00960 	 	 	 
MBP	MBP	Myelin basic protein	GO:0006955 GO:0007268 GO:0007417 GO:0008366 GO:0019911 GO:0042552 	 	 	 	 
ELAVL4	ELAVL4	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)"	GO:0000166 GO:0003723 GO:0003730 GO:0006397 	 	 	 	 
PDE7A	PDE7A	Phosphodiesterase 7A	GO:0000267 GO:0004115 GO:0005615 GO:0007165 GO:0016787 	hsa00230 	 	 	 
THPO	THPO	"Thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)"	GO:0005125 GO:0005179 GO:0005576 GO:0005615 GO:0007275 GO:0008083 GO:0008283 GO:0030099 	hsa04640 	 	 	 
HAL	HAL	Histidine ammonia-lyase	GO:0004397 GO:0005737 GO:0005829 GO:0006548 GO:0009058 GO:0016211 GO:0016829 	hsa00340 hsa00910 	 	70921 71291 	70899
TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	GO:0005057 GO:0005085 GO:0005089 GO:0005515 GO:0005543 GO:0005622 GO:0005886 GO:0007165 GO:0007242 GO:0007264 GO:0035023 GO:0046875 GO:0048013 GO:0050772 	hsa04810 	 	 	 
CDH2	CDH2	"Cadherin 2, type 1, N-cadherin (neuronal)"	GO:0005509 GO:0005515 GO:0005615 GO:0005912 GO:0007155 GO:0007156 GO:0016020 GO:0016021 GO:0016339 GO:0016477 GO:0030027 GO:0045202 GO:0048514 	hsa04514 	 	 	 
EPB42	EPB42	Erythrocyte membrane protein band 4.2	GO:0005200 GO:0005351 GO:0005524 GO:0005856 GO:0005886 GO:0008360 GO:0009401 GO:0018149 GO:0043249 	 	 	 	 
GYPA	GYPA	Glycophorin A (MNS blood group)	GO:0000004 GO:0005554 GO:0005624 GO:0005886 GO:0008372 GO:0016020 GO:0016021 GO:0042802 	hsa04640 	 	 	 
SULT1E1	SULT1E1	"Sulfotransferase family 1E, estrogen-preferring, member 1"	GO:0004304 GO:0005496 GO:0007565 GO:0008202 GO:0008210 GO:0008289 GO:0016740 	hsa00150 hsa00920 	 	140192 156580 156584 	176474 176517 176521 176585 176631 176664 
PITX2	PITX2	Paired-like homeodomain transcription factor 2	GO:0001569 GO:0003700 GO:0005515 GO:0005634 GO:0005667 GO:0006355 GO:0007275 GO:0007368 GO:0007389 GO:0007507 GO:0008134 GO:0009887 GO:0016055 GO:0030334 GO:0042127 GO:0043565 GO:0045449 	hsa04350 	 	 	 
RIT2	RIT2	Ras-like without CAAX 2	GO:0000166 GO:0003924 GO:0005516 GO:0005525 GO:0005622 GO:0005886 GO:0006886 GO:0007264 	 	 	 	 
